gene_id,SRR35049344,SRR35049350,SRR35049353,SRR35049354,SRR35049360,SRR35049363
MSTRG.401|CASP9,526,472,488,835,471,640
MSTRG.402|DNAJC16,2543,1363,1527,1923,2195,1438
MSTRG.405|AGMAT,54,116,301,144,170,324
MSTRG.406,44,31,4,17,26,8
MSTRG.403|SCARNA21B,3,0,2,0,0,0
MSTRG.404,11,4,8,1,7,0
MSTRG.407,0,6,2,1,9,6
MSTRG.408|CD24P1,0,0,0,0,0,0
MSTRG.409|DDI2,3975,2820,5103,3838,2553,3088
MSTRG.409|RSC1A1,46,214,30,46,102,12
MSTRG.380,0,0,0,296,0,0
MSTRG.380|KAZN,1112,238,333,597,302,627
MSTRG.381|RNU6-1265P,0,0,0,0,0,0
MSTRG.382,2,0,0,2,0,0
MSTRG.383|KAZN-AS1,0,0,0,0,1,0
